property_code,project_no,sale_date,completed_100,turnover_date,collected_date,SLA_turnover,SLA_collection,status,sale_completed
ALC0785,ALCPH01,6/10/2016,4/17/2018,7/26/2018,9/24/2018,3.333333333,1.97260274,Sold,FALSE
ALC0786,ALCPH01,7/1/2016,5/28/2018,7/28/2018,9/19/2018,2.033333333,1.742465753,Sold,FALSE
ALC0787,ALCPH01,6/17/2016,5/8/2018,8/4/2018,9/15/2018,2.933333333,1.380821918,Sold,FALSE
ALC0788,ALCPH01,5/7/2015,3/23/2017,6/25/2017,8/6/2017,3.133333333,1.380821918,Sold,FALSE
ALC0789,ALCPH01,2/27/2015,1/15/2017,3/23/2017,5/5/2017,2.233333333,1.41369863,Sold,FALSE
ALC0790,ALCPH01,7/17/2014,6/7/2016,8/16/2016,10/1/2016,2.333333333,1.512328767,Sold,FALSE
ALC0791,ALCPH01,10/4/2014,9/22/2016,11/16/2016,1/5/2017,1.833333333,1.643835616,Sold,FALSE
ALC0792,ALCPH01,3/9/2016,1/31/2018,3/4/2018,5/2/2018,1.066666667,1.939726027,Sold,FALSE
ALC0793,ALCPH01,3/17/2016,2/6/2018,5/21/2018,7/13/2018,3.466666667,1.742465753,Sold,FALSE
ALC0794,ALCPH01,3/13/2016,1/19/2018,3/10/2018,5/3/2018,1.666666667,1.775342466,Sold,FALSE
ALC0795,ALCPH01,3/12/2016,1/30/2018,2/28/2018,4/16/2018,0.966666667,1.545205479,Sold,FALSE
ALC0796,ALCPH01,8/28/2014,8/11/2016,11/9/2016,12/25/2016,3,1.512328767,Sold,FALSE
ALC0798,ALCPH01,3/1/2016,1/2/2018,3/7/2018,5/5/2018,2.133333333,1.939726027,Sold,FALSE
ALC0799,ALCPH01,7/6/2016,5/13/2018,8/25/2018,10/7/2018,3.466666667,1.41369863,Sold,FALSE
ALC0800,ALCPH01,10/9/2018,6/26/2020,9/12/2020,10/31/2020,2.6,1.610958904,Sold,FALSE
ALC0801,ALCPH05,3/30/2014,3/15/2016,6/8/2016,8/1/2016,2.833333333,1.775342466,Sold,FALSE
ALC0802,ALCPH05,5/31/2014,5/6/2016,7/11/2016,8/28/2016,2.2,1.578082192,Sold,FALSE
ALC0803,ALCPH05,7/22/2016,6/5/2018,8/9/2018,9/24/2018,2.166666667,1.512328767,Sold,FALSE
ALC0804,ALCPH05,8/7/2015,6/25/2017,8/15/2017,10/7/2017,1.7,1.742465753,Sold,FALSE
ALC0805,ALCPH05,6/17/2016,4/28/2018,8/11/2018,9/21/2018,3.5,1.347945205,Sold,FALSE
ALC0806,ALCPH05,12/26/2014,11/11/2016,12/17/2016,1/27/2017,1.2,1.347945205,Sold,FALSE
ALC0807,ALCPH05,2/10/2017,12/8/2018,1/18/2019,2/27/2019,1.366666667,1.315068493,Sold,FALSE
ALC0808,ALCPH05,12/30/2013,12/2/2015,1/6/2016,2/17/2016,1.166666667,1.380821918,Sold,FALSE
ALC0809,ALCPH05,10/31/2015,9/29/2017,11/27/2017,1/22/2018,1.966666667,1.84109589,Sold,FALSE
ALC0810,ALCPH05,12/30/2013,12/5/2015,2/1/2016,3/22/2016,1.933333333,1.643835616,Sold,FALSE
ALC0811,ALCPH05,12/18/2013,10/29/2015,11/29/2015,1/13/2016,1.033333333,1.479452055,Sold,FALSE
ALC0812,ALCPH05,12/31/2020,8/29/2022,9/21/2022,10/18/2022,0.766666667,0.887671233,Sold,FALSE
ALC0813,ALCPH05,9/25/2018,7/6/2020,10/7/2020,11/28/2020,3.1,1.709589041,Sold,FALSE
ALC0814,ALCPH05,8/1/2015,6/22/2017,7/28/2017,9/20/2017,1.2,1.775342466,Sold,FALSE
ALC0815,ALCPH05,8/1/2015,5/27/2017,9/6/2017,10/22/2017,3.4,1.512328767,Sold,FALSE
ALC0816,ALCPH05,5/7/2018,2/23/2020,4/26/2020,6/21/2020,2.1,1.84109589,Sold,FALSE
ALC0817,ALCPH05,12/29/2018,9/30/2020,12/3/2020,1/29/2021,2.133333333,1.873972603,Sold,FALSE
ALC0818,ALCPH05,11/20/2018,8/24/2020,11/24/2020,1/7/2021,3.066666667,1.446575342,Sold,FALSE
ALC0819,ALCPH05,2/13/2019,11/12/2020,12/12/2020,1/31/2021,1,1.643835616,Sold,FALSE
ALC0820,ALCPH05,3/1/2019,11/22/2020,1/6/2021,2/8/2021,1.5,1.084931507,Sold,FALSE
ALC0821,ALCPH05,2/21/2019,11/15/2020,2/6/2021,3/9/2021,2.766666667,1.019178082,Sold,FALSE
ALC0822,ALCPH05,6/28/2019,4/12/2021,5/14/2021,6/8/2021,1.066666667,0.821917808,Sold,FALSE
ALC0823,ALCPH05,1/11/2019,10/7/2020,11/16/2020,1/4/2021,1.333333333,1.610958904,Sold,FALSE
ALC0824,ALCPH05,12/31/2020,9/23/2022,10/28/2022,11/24/2022,1.166666667,0.887671233,Sold,FALSE
ALC0825,ALCPH05,10/25/2018,7/16/2020,9/28/2020,11/11/2020,2.466666667,1.446575342,Sold,FALSE
ALC0826,ALCPH05,6/29/2018,4/7/2020,7/6/2020,8/18/2020,3,1.41369863,Sold,FALSE
ALC0827,ALCPH05,1/3/2019,10/17/2020,11/12/2020,12/25/2020,0.866666667,1.41369863,Sold,FALSE
ALC0828,ALCPH05,12/19/2018,9/18/2020,11/27/2020,1/20/2021,2.333333333,1.775342466,Sold,FALSE
ALC0829,ALCPH05,4/4/2018,1/16/2020,3/20/2020,4/29/2020,2.133333333,1.315068493,Sold,FALSE
ALC0830,ALCPH05,4/4/2018,1/26/2020,3/2/2020,4/17/2020,1.2,1.512328767,Sold,FALSE
ALC0831,ALCPH05,3/29/2017,1/18/2019,3/11/2019,4/21/2019,1.733333333,1.347945205,Sold,FALSE
ALC0832,ALCPH05,2/27/2018,12/15/2019,1/13/2020,3/1/2020,0.966666667,1.578082192,Sold,FALSE
ALC0833,ALCPH05,3/29/2017,2/8/2019,4/2/2019,5/24/2019,1.766666667,1.709589041,Sold,FALSE
ALC0834,ALCPH05,1/29/2014,12/21/2015,2/5/2016,3/27/2016,1.533333333,1.676712329,Sold,FALSE
ALC1048,ALCPH03,1/2/2021,5/5/2014,1/26/2021,2/25/2021,0.690335306,0.98630137,Sold,TRUE
ALC1049,ALCPH03,3/31/2021,5/5/2014,4/27/2021,5/27/2021,0.887573964,0.98630137,Sold,TRUE
ALC1050,ALCPH03,3/18/2022,5/5/2014,4/15/2022,5/14/2022,0.920447074,0.953424658,Sold,TRUE
ALC1051,ALCPH03,8/14/2021,5/5/2014,9/4/2021,10/3/2021,0.723208416,0.953424658,Sold,TRUE
ALC1052,ALCPH03,1/28/2021,5/5/2014,2/15/2021,3/13/2021,0.558842867,0.854794521,Sold,TRUE
ALC1055,ALCPH03,12/28/2021,5/5/2014,1/20/2022,2/20/2022,0.756081525,1.019178082,Sold,TRUE
ALC1056,ALCPH03,11/30/2020,5/5/2014,3/9/2021,4/5/2021,2.695595003,0.887671233,Sold,TRUE
ALC1059,ALCPH03,2/27/2021,5/5/2014,3/20/2021,4/20/2021,0.920447074,1.019178082,Sold,TRUE
ALC1060,ALCPH03,1/24/2021,5/5/2014,2/22/2021,3/26/2021,0.854700855,1.052054795,Sold,TRUE
ALC1061,ALCPH03,5/22/2021,5/5/2014,6/9/2021,7/11/2021,0.854700855,1.052054795,Sold,TRUE
ALC1062,ALCPH03,4/21/2021,5/5/2014,5/12/2021,6/9/2021,0.624589086,0.920547945,Sold,TRUE
ALC1064,ALCPH03,10/22/2022,5/5/2014,11/26/2022,12/26/2022,0.624589086,0.98630137,Sold,TRUE
ALC1065,ALCPH03,2/17/2021,5/5/2014,3/16/2021,4/18/2021,0.723208416,1.084931507,Sold,TRUE
ALC1066,ALCPH03,5/10/2022,5/5/2014,5/30/2022,6/30/2022,0.756081525,1.019178082,Sold,TRUE
ALC1068,ALCPH03,12/18/2021,5/5/2014,1/8/2022,2/5/2022,1.019066404,0.920547945,Sold,TRUE
ALC1070,ALCPH03,1/18/2022,5/5/2014,2/10/2022,3/15/2022,1.084812623,1.084931507,Sold,TRUE
ALC1071,ALCPH03,3/16/2022,5/5/2014,4/20/2022,5/21/2022,0.657462196,1.019178082,Sold,TRUE
ALC1072,ALCPH03,12/16/2021,5/5/2014,1/12/2022,2/13/2022,1.019066404,1.052054795,Sold,TRUE
ALC1074,ALCPH03,3/4/2021,5/5/2014,3/25/2021,4/27/2021,0.887573964,1.084931507,Sold,TRUE
ALC1076,ALCPH03,9/12/2021,5/5/2014,10/13/2021,11/15/2021,0.887573964,1.084931507,Sold,TRUE
ALC1077,ALCPH03,3/31/2021,5/5/2014,4/19/2021,5/14/2021,0.624589086,0.821917808,Sold,TRUE
ALC1080,ALCPH03,4/21/2022,5/5/2014,5/20/2022,6/18/2022,0.887573964,0.953424658,Sold,TRUE
ALC1081,ALCPH03,11/10/2021,5/5/2014,11/30/2021,12/30/2021,1.019066404,0.98630137,Sold,TRUE
ALC1083,ALCPH03,7/26/2022,5/5/2014,8/28/2022,9/30/2022,0.690335306,1.084931507,Sold,TRUE
ALC1084,ALCPH03,9/18/2022,5/5/2014,10/7/2022,11/5/2022,0.558842867,0.953424658,Sold,TRUE
ALC1085,ALCPH03,7/2/2021,5/5/2014,7/29/2021,8/28/2021,1.150558843,0.98630137,Sold,TRUE
ALC1086,ALCPH03,8/30/2021,5/5/2014,9/22/2021,10/23/2021,0.756081525,1.019178082,Sold,TRUE
ALC1087,ALCPH03,12/2/2021,5/5/2014,12/25/2021,1/26/2022,0.788954635,1.052054795,Sold,TRUE
ALC1088,ALCPH03,1/2/2022,5/5/2014,2/4/2022,3/3/2022,0.624589086,0.887671233,Sold,TRUE
ALC1089,ALCPH03,12/29/2020,5/5/2014,4/28/2021,5/23/2021,0.953320184,0.821917808,Sold,TRUE
ALC1090,ALCPH03,8/4/2022,5/5/2014,8/30/2022,10/1/2022,0.986193294,1.052054795,Sold,TRUE
ALC1091,ALCPH03,9/21/2021,5/5/2014,10/9/2021,11/5/2021,0.953320184,0.887671233,Sold,TRUE
ALC1092,ALCPH03,11/9/2021,5/5/2014,12/9/2021,1/3/2022,1.051939513,0.821917808,Sold,TRUE
ALC1093,ALCPH03,4/24/2022,5/5/2014,5/21/2022,6/22/2022,0.690335306,1.052054795,Sold,TRUE
ALC1094,ALCPH03,7/9/2021,5/5/2014,8/7/2021,9/6/2021,0.854700855,0.98630137,Sold,TRUE
ALC1095,ALCPH03,1/16/2021,5/5/2014,2/13/2021,3/11/2021,0.887573964,0.854794521,Sold,TRUE
ALC1097,ALCPH03,11/20/2021,5/5/2014,12/9/2021,1/4/2022,0.854700855,0.854794521,Sold,TRUE
ALC1099,ALCPH03,10/5/2021,5/5/2014,11/4/2021,11/30/2021,0.920447074,0.854794521,Sold,TRUE
ALC1100,ALCPH03,3/13/2021,5/5/2014,4/10/2021,5/11/2021,1.084812623,1.019178082,Sold,TRUE
ALC1101,ALCPH03,11/22/2021,5/5/2014,12/14/2021,1/15/2022,0.821827745,1.052054795,Sold,TRUE
ALC1105,ALCPH03,3/11/2021,5/5/2014,4/3/2021,5/2/2021,0.788954635,0.953424658,Sold,TRUE
ALC1130,ALCPH03,6/23/2022,5/5/2014,7/23/2022,8/23/2022,0.624589086,1.019178082,Sold,TRUE
ALC1131,ALCPH03,5/31/2022,5/5/2014,6/19/2022,7/15/2022,0.723208416,0.854794521,Sold,TRUE
ALC1136,ALCPH03,12/26/2020,5/5/2014,4/21/2021,5/23/2021,1.742274819,1.052054795,Sold,TRUE
ALC1138,ALCPH03,7/22/2021,5/5/2014,8/14/2021,9/11/2021,0.657462196,0.920547945,Sold,TRUE
ALC1140,ALCPH03,10/3/2022,5/5/2014,10/26/2022,11/26/2022,1.084812623,1.019178082,Sold,TRUE
ALC1141,ALCPH03,9/21/2022,5/5/2014,10/25/2022,11/21/2022,0.558842867,0.887671233,Sold,TRUE
ALC1142,ALCPH03,11/29/2021,5/5/2014,12/25/2021,1/24/2022,0.953320184,0.98630137,Sold,TRUE
ALC1145,ALCPH03,1/1/2022,5/5/2014,1/30/2022,2/25/2022,1.051939513,0.854794521,Sold,TRUE
ALC1146,ALCPH03,12/16/2020,5/5/2014,3/8/2021,4/9/2021,1.019066404,1.052054795,Sold,TRUE
ALC1147,ALCPH03,9/19/2022,5/5/2014,10/19/2022,11/15/2022,1.084812623,0.887671233,Sold,TRUE
ALC1148,ALCPH03,9/20/2022,5/5/2014,10/8/2022,11/7/2022,0.920447074,0.98630137,Sold,TRUE
ALC1149,ALCPH03,2/5/2022,5/5/2014,3/8/2022,4/10/2022,0.723208416,1.084931507,Sold,TRUE
ALC1150,ALCPH03,12/27/2020,5/5/2014,2/25/2021,3/25/2021,2.038132807,0.920547945,Sold,TRUE
ALC1152,ALCPH03,10/6/2021,5/5/2014,10/23/2021,11/20/2021,1.117685733,0.920547945,Sold,TRUE
ALC1153,ALCPH03,1/25/2022,5/5/2014,2/19/2022,3/20/2022,0.854700855,0.953424658,Sold,TRUE
ALC1154,ALCPH03,12/29/2021,5/5/2014,1/30/2022,3/2/2022,0.986193294,1.019178082,Sold,TRUE
ALC1155,ALCPH03,9/10/2022,5/5/2014,10/8/2022,11/3/2022,1.117685733,0.854794521,Sold,TRUE
ALC1437,ALCPH03,2/23/2021,10/30/2022,12/2/2022,1/3/2023,1.1,1.052054795,Sold,FALSE
ALC1438,ALCPH03,3/24/2021,11/23/2022,12/23/2022,1/21/2023,1,0.953424658,Sold,FALSE
ALC1450,ALCPH03,10/30/2020,7/11/2022,8/15/2022,9/15/2022,1.166666667,1.019178082,Sold,FALSE
ALC1465,ALCPH03,11/18/2020,7/29/2022,8/20/2022,9/20/2022,0.733333333,1.019178082,Sold,FALSE
ALC1466,ALCPH03,11/18/2020,7/18/2022,8/15/2022,9/10/2022,0.933333333,0.854794521,Sold,FALSE
ALC1470,ALCPH03,12/2/2020,8/4/2022,8/29/2022,9/28/2022,0.833333333,0.98630137,Sold,FALSE
ALC1476,ALCPH03,1/20/2021,10/4/2022,11/4/2022,12/6/2022,1.033333333,1.052054795,Sold,FALSE
ALC1479,ALCPH03,3/24/2021,11/28/2022,12/17/2022,1/11/2023,0.633333333,0.821917808,Sold,FALSE
ALC1481,ALCPH03,10/28/2020,7/15/2022,8/7/2022,9/5/2022,0.766666667,0.953424658,Sold,FALSE
ALC1482,ALCPH03,2/23/2021,11/17/2022,12/9/2022,1/7/2023,0.733333333,0.953424658,Sold,FALSE
ALC1483,ALCPH03,3/24/2021,12/3/2022,12/20/2022,1/16/2023,0.566666667,0.887671233,Sold,FALSE
ALC1490,ALCPH03,11/19/2020,7/25/2022,8/29/2022,9/30/2022,1.166666667,1.052054795,Sold,FALSE
ALC1493,ALCPH03,10/1/2020,6/21/2022,7/15/2022,8/14/2022,0.8,0.98630137,Sold,FALSE
ALC1497,ALCPH03,3/24/2021,12/3/2022,1/7/2023,2/3/2023,1.166666667,0.887671233,Sold,FALSE
ALC1499,ALCPH03,12/11/2020,8/11/2022,9/10/2022,10/9/2022,1,0.953424658,Sold,FALSE
ALC1501,ALCPH03,9/16/2020,5/23/2022,6/21/2022,7/22/2022,0.966666667,1.019178082,Sold,FALSE
ALC1502,ALCPH03,11/19/2020,7/22/2022,8/10/2022,9/7/2022,0.633333333,0.920547945,Sold,FALSE
ALC1503,ALCPH03,10/23/2020,7/12/2022,8/9/2022,9/5/2022,0.933333333,0.887671233,Sold,FALSE
ALC1504,ALCPH03,10/2/2020,6/5/2022,6/28/2022,7/31/2022,0.766666667,1.084931507,Sold,FALSE
ALC1506,ALCPH03,12/11/2020,8/20/2022,9/17/2022,10/15/2022,0.933333333,0.920547945,Sold,FALSE
ALC1507,ALCPH03,3/24/2021,11/24/2022,12/27/2022,1/23/2023,1.1,0.887671233,Sold,FALSE
ALC1542,ALCPH03,10/11/2020,6/8/2022,6/27/2022,7/24/2022,0.633333333,0.887671233,Sold,FALSE
ALC1543,ALCPH03,11/19/2020,7/19/2022,8/9/2022,9/9/2022,0.7,1.019178082,Sold,FALSE
ALC1547,ALCPH03,2/23/2021,11/7/2022,11/28/2022,12/25/2022,0.7,0.887671233,Sold,FALSE
ALC1548,ALCPH03,2/23/2021,11/5/2022,11/29/2022,12/30/2022,0.8,1.019178082,Sold,FALSE
ALC1558,ALCPH03,10/2/2020,6/1/2022,6/19/2022,7/21/2022,0.6,1.052054795,Sold,FALSE
ALC1561,ALCPH03,10/2/2020,6/12/2022,7/17/2022,8/14/2022,1.166666667,0.920547945,Sold,FALSE
ALC1562,ALCPH03,10/2/2020,5/28/2022,6/26/2022,7/25/2022,0.966666667,0.953424658,Sold,FALSE
ALC1564,ALCPH03,9/19/2020,5/17/2022,6/12/2022,7/14/2022,0.866666667,1.052054795,Sold,FALSE
ALC1565,ALCPH03,10/9/2020,6/14/2022,7/14/2022,8/9/2022,1,0.854794521,Sold,FALSE
ALC1566,ALCPH03,3/24/2021,11/30/2022,12/28/2022,1/28/2023,0.933333333,1.019178082,Sold,FALSE
ALC1567,ALCPH03,10/9/2020,6/28/2022,8/1/2022,8/28/2022,1.133333333,0.887671233,Sold,FALSE
ALC1571,ALCPH03,10/28/2020,7/7/2022,8/5/2022,9/1/2022,0.966666667,0.887671233,Sold,FALSE
BEL0001,BELPH01,8/17/2007,5/11/2009,8/25/2009,11/27/2009,3.533333333,3.090410959,Sold,FALSE
BEL0002,BELPH01,7/6/2007,5/11/2009,7/20/2009,9/22/2009,2.333333333,2.104109589,Sold,FALSE
BEL0003,BELPH01,3/12/2010,5/11/2009,6/10/2010,9/25/2010,0.866666667,3.517808219,Sold,TRUE
BEL0004,BELPH01,1/29/2010,5/11/2009,5/20/2010,8/16/2010,2.733333333,2.893150685,Sold,TRUE
BEL0005,BELPH01,5/5/2011,5/11/2009,8/31/2011,11/12/2011,1.133333333,2.4,Sold,TRUE
BEL0006,BELPH01,5/5/2011,5/11/2009,8/7/2011,9/25/2011,2.5,1.610958904,Sold,TRUE
BEL0007,BELPH01,2/26/2011,5/11/2009,4/24/2011,8/1/2011,1.633333333,3.254794521,Sold,TRUE
BEL0008,BELPH01,2/28/2010,5/11/2009,5/16/2010,7/22/2010,3.333333333,2.202739726,Sold,TRUE
BEL0009,BELPH01,4/4/2010,5/11/2009,7/13/2010,10/18/2010,2.166666667,3.189041096,Sold,TRUE
BEL0010,BELPH01,1/29/2010,5/11/2009,4/16/2010,6/12/2010,3.1,1.873972603,Sold,TRUE
BEL0011,BELPH01,5/30/2010,5/11/2009,7/22/2010,9/29/2010,2.833333333,2.268493151,Sold,TRUE
BEL0012,BELPH01,5/5/2011,5/11/2009,7/16/2011,10/4/2011,2.766666667,2.630136986,Sold,TRUE
BEL0013,BELPH01,4/22/2011,5/11/2009,8/10/2011,10/5/2011,2.866666667,1.84109589,Sold,TRUE
BEL0014,BELPH01,1/29/2010,5/11/2009,5/10/2010,7/2/2010,2.566666667,1.742465753,Sold,TRUE
BEL0015,BELPH01,1/30/2010,5/11/2009,4/23/2010,7/4/2010,1.966666667,2.367123288,Sold,TRUE
BEL0016,BELPH01,11/30/2011,5/11/2009,3/23/2012,6/2/2012,2.266666667,2.334246575,Sold,TRUE
BEL0017,BELPH01,9/12/2015,5/11/2009,12/24/2015,2/9/2016,2.266666667,1.545205479,Sold,TRUE
BEL0018,BELPH01,4/8/2017,5/11/2009,7/19/2017,9/16/2017,2.1,1.939726027,Sold,TRUE
BEL0019,BELPH01,11/13/2010,5/11/2009,3/1/2011,5/4/2011,2.833333333,2.104109589,Sold,TRUE
BEL0020,BELPH01,11/7/2010,5/11/2009,2/10/2011,4/3/2011,1.2,1.709589041,Sold,TRUE
BEL0021,BELPH01,11/14/2010,5/11/2009,1/7/2011,2/27/2011,2.2,1.676712329,Sold,TRUE
BEL0022,BELPH01,11/7/2010,5/11/2009,1/22/2011,4/14/2011,3.333333333,2.695890411,Sold,TRUE
BEL0023,BELPH01,12/10/2010,5/11/2009,3/4/2011,6/2/2011,2.8,2.95890411,Sold,TRUE
BEL0024,BELPH01,11/7/2010,5/11/2009,12/20/2010,3/2/2011,2.333333333,2.367123288,Sold,TRUE
BEL0025,BELPH01,5/30/2011,5/11/2009,9/14/2011,12/9/2011,2.3,2.82739726,Sold,TRUE
BEL0026,BELPH01,8/14/2011,5/11/2009,10/13/2011,12/22/2011,1.033333333,2.301369863,Sold,TRUE
BEL0027,BELPH01,11/7/2010,5/11/2009,1/14/2011,3/7/2011,2.666666667,1.709589041,Sold,TRUE
BEL0028,BELPH01,11/17/2010,5/11/2009,1/8/2011,2/25/2011,2.5,1.578082192,Sold,TRUE
BEL0029,BELPH02,7/30/2013,5/11/2009,9/30/2013,1/15/2014,2.6,3.517808219,Sold,TRUE
BEL0030,BELPH02,7/29/2016,5/11/2009,9/27/2016,11/6/2016,1.333333333,1.315068493,Sold,TRUE
BEL0031,BELPH02,4/29/2012,5/11/2009,8/23/2012,11/30/2012,2.666666667,3.254794521,Sold,TRUE
BEL0032,BELPH02,7/29/2016,5/11/2009,9/27/2016,11/23/2016,2.066666667,1.873972603,Sold,TRUE
BEL0033,BELPH02,7/29/2016,5/11/2009,11/26/2016,1/7/2017,1.066666667,1.380821918,Sold,TRUE
BEL0034,BELPH02,8/15/2011,5/11/2009,10/6/2011,1/3/2012,1.766666667,2.926027397,Sold,TRUE
BEL0035,BELPH02,10/24/2010,5/11/2009,2/5/2011,3/30/2011,3.033333333,1.742465753,Sold,TRUE
BEL0036,BELPH02,8/14/2011,5/11/2009,12/6/2011,2/22/2012,1.133333333,2.564383562,Sold,TRUE
BEL0037,BELPH02,6/5/2014,5/11/2009,7/27/2014,9/17/2014,1.833333333,1.709589041,Sold,TRUE
BEL0038,BELPH02,9/22/2007,5/11/2009,6/13/2009,8/29/2009,1.1,2.531506849,Sold,FALSE
BEL0039,BELPH02,11/6/2014,5/11/2009,1/21/2015,3/7/2015,0.933333333,1.479452055,Sold,TRUE
BEL0040,BELPH02,7/18/2015,5/11/2009,9/26/2015,11/10/2015,3,1.479452055,Sold,TRUE
CEN0001,CENPH08,7/25/2014,4/26/2011,11/11/2014,12/28/2014,2.666666667,1.545205479,Sold,TRUE
CEN0002,CENPH08,7/26/2020,4/26/2011,11/13/2020,12/25/2020,1.1,1.380821918,Sold,TRUE
CEN0003,CENPH08,4/20/2012,4/26/2011,8/16/2012,11/12/2012,1,2.893150685,Sold,TRUE
CEN0004,CENPH08,12/19/2015,4/26/2011,4/13/2016,6/11/2016,1.066666667,1.939726027,Sold,TRUE
CEN0005,CENPH08,6/29/2016,4/26/2011,9/2/2016,10/17/2016,1.166666667,1.479452055,Sold,TRUE
CEN0006,CENPH08,12/23/2015,4/26/2011,4/11/2016,5/30/2016,1.966666667,1.610958904,Sold,TRUE
CEN0007,CENPH08,3/16/2016,4/26/2011,4/28/2016,6/21/2016,2.166666667,1.775342466,Sold,TRUE
CEN0008,CENPH08,1/26/2011,4/26/2011,6/12/2011,8/28/2011,1.566666667,2.531506849,Sold,FALSE
CEN0009,CENPH08,9/20/2009,4/26/2011,6/26/2011,9/21/2011,2.033333333,2.860273973,Sold,FALSE
CEN0010,CENPH08,9/3/2015,4/26/2011,11/9/2015,12/29/2015,2.133333333,1.643835616,Sold,TRUE
CEN0011,CENPH08,3/30/2018,4/26/2011,7/13/2018,9/8/2018,3.033333333,1.873972603,Sold,TRUE
CEN0012,CENPH08,3/4/2019,4/26/2011,5/7/2019,7/5/2019,1.666666667,1.939726027,Sold,TRUE
CEN0013,CENPH08,3/30/2019,4/26/2011,7/5/2019,8/25/2019,1.5,1.676712329,Sold,TRUE
CEN0014,CENPH08,3/30/2018,4/26/2011,7/11/2018,8/28/2018,2.866666667,1.578082192,Sold,TRUE
CEN0015,CENPH08,3/30/2018,4/26/2011,5/14/2018,6/28/2018,2.066666667,1.479452055,Sold,TRUE
CEN0016,CENPH08,3/30/2018,4/26/2011,7/1/2018,8/10/2018,2.5,1.315068493,Sold,TRUE
CEN0017,CENPH08,3/28/2018,4/26/2011,6/14/2018,8/8/2018,2.633333333,1.808219178,Sold,TRUE
CEN0018,CENPH08,3/19/2012,4/26/2011,6/5/2012,7/21/2012,2.2,1.512328767,Sold,TRUE
CEN0019,CENPH08,2/8/2013,4/26/2011,4/9/2013,7/4/2013,2.733333333,2.82739726,Sold,TRUE
CEN0020,CENPH08,3/22/2010,4/26/2011,5/26/2011,8/2/2011,1,2.235616438,Sold,FALSE
CEN0021,CENPH08,6/30/2016,4/26/2011,8/25/2016,10/10/2016,2.733333333,1.512328767,Sold,TRUE
CEN0022,CENPH08,11/13/2009,4/26/2011,7/10/2011,9/11/2011,2.5,2.071232877,Sold,FALSE
CEN0023,CENPH08,9/18/2017,4/26/2011,12/3/2017,1/16/2018,2.7,1.446575342,Sold,TRUE
CEN0024,CENPH08,8/18/2020,4/26/2011,10/3/2020,11/24/2020,0.9,1.709589041,Sold,TRUE
CEN0025,CENPH08,5/18/2019,4/26/2011,8/4/2019,9/20/2019,2.166666667,1.545205479,Sold,TRUE
CEN0026,CENPH08,7/29/2018,4/26/2011,10/11/2018,12/2/2018,1.366666667,1.709589041,Sold,TRUE
CEN0027,CENPH08,3/16/2017,4/26/2011,6/4/2017,7/27/2017,1.266666667,1.742465753,Sold,TRUE
CEN0028,CENPH08,1/21/2010,4/26/2011,7/14/2011,9/9/2011,2.633333333,1.873972603,Sold,FALSE
CEN0029,CENPH08,6/29/2016,4/26/2011,9/24/2016,11/15/2016,2.966666667,1.709589041,Sold,TRUE
CEN0030,CENPH08,11/24/2010,4/26/2011,6/2/2011,7/26/2011,1.233333333,1.775342466,Sold,FALSE
CEN0031,CENPH08,8/26/2011,4/26/2011,11/5/2011,2/16/2012,1.866666667,3.38630137,Sold,TRUE
CEN0032,CENPH08,1/6/2018,4/26/2011,3/29/2018,5/21/2018,2.466666667,1.742465753,Sold,TRUE
CEN0033,CENPH08,11/15/2019,4/26/2011,2/16/2020,4/3/2020,2.766666667,1.545205479,Sold,TRUE
CEN0034,CENPH08,5/27/2009,4/26/2011,7/11/2011,9/14/2011,2.533333333,2.136986301,Sold,FALSE
CEN0035,CENPH08,2/5/2013,4/26/2011,5/4/2013,7/5/2013,2.4,2.038356164,Sold,TRUE
CEN0036,CENPH08,3/26/2014,4/26/2011,5/30/2014,7/25/2014,0.9,1.84109589,Sold,TRUE
CEN0037,CENPH08,6/2/2012,4/26/2011,9/29/2012,1/1/2013,2.066666667,3.090410959,Sold,TRUE
CEN0038,CENPH08,11/29/2014,4/26/2011,1/29/2015,3/15/2015,1.866666667,1.479452055,Sold,TRUE
CEN0039,CENPH08,2/27/2011,4/26/2011,8/1/2011,10/15/2011,3.233333333,2.465753425,Sold,FALSE
CEN0040,CENPH08,10/22/2018,4/26/2011,1/13/2019,3/9/2019,2.766666667,1.808219178,Sold,TRUE
CEN0041,CENPH08,10/19/2011,4/26/2011,1/13/2012,3/8/2012,2.566666667,1.808219178,Sold,TRUE
CEN0042,CENPH08,8/4/2018,4/26/2011,9/17/2018,11/12/2018,2.1,1.84109589,Sold,TRUE
CEN0043,CENPH08,9/6/2019,4/26/2011,12/24/2019,2/14/2020,3,1.709589041,Sold,TRUE
CEN0044,CENPH08,7/15/2009,4/26/2011,6/24/2011,9/20/2011,1.966666667,2.893150685,Sold,FALSE
CEN0045,CENPH08,10/16/2013,4/26/2011,12/27/2013,3/16/2014,2.566666667,2.597260274,Sold,TRUE
CEN0046,CENPH08,5/14/2016,4/26/2011,7/16/2016,8/26/2016,2.133333333,1.347945205,Sold,TRUE
CEN0047,CENPH08,2/22/2015,4/26/2011,5/17/2015,7/14/2015,1.966666667,1.906849315,Sold,TRUE
CEN0048,CENPH08,3/23/2010,4/26/2011,7/6/2011,9/25/2011,2.366666667,2.663013699,Sold,FALSE
